id_client,age,anciennete_mois,nb_seances_moy_mois,abonnement_premium,coaching,satisfaction,revenu_mensuel,churn
1,42.0,31,2.7,0,1,4.8,61.29,0
2,36.0,53,5.9,1,0,6.1,74.91,0
3,44.0,34,2.9,0,1,5.2,59.89,0
4,53.0,38,5.4,0,0,7.4,54.76,0
5,35.0,57,5.0,0,1,8.9,60.95,0
6,35.0,4,4.9,1,0,4.0,77.45,0
7,53.0,2,7.0,0,0,4.7,67.14,0
8,45.0,12,8.6,0,1,8.0,87.72,0
9,33.0,35,5.8,0,1,8.0,91.35,0
10,43.0,70,2.6,0,0,5.9,45.63,0
11,33.0,72,5.3,0,0,7.4,48.82,0
12,33.0,21,3.8,0,1,6.3,65.02,0
13,40.0,61,9.0,0,0,8.2,87.21,0
14,18.0,35,6.4,0,0,7.2,55.77,0
15,20.0,48,5.8,0,0,7.1,51.0,0
16,32.0,15,6.3,0,0,3.7,53.04,0
17,27.0,71,4.9,0,0,6.3,55.36,0
18,41.0,15,7.5,0,1,9.0,89.72,0
19,28.0,6,3.9,0,0,3.5,56.09,0
20,23.0,68,6.9,1,1,9.6,102.33,0
21,52.0,22,8.2,0,0,7.2,86.1,0
22,35.0,32,3.4,1,0,4.0,76.97,0
23,38.0,22,5.7,0,0,5.4,54.21,0
24,23.0,27,5.8,1,0,6.4,92.43,0
25,32.0,15,2.9,1,0,4.6,88.29,0
26,39.0,44,2.3,0,0,2.8,46.17,0
27,26.0,9,3.2,1,0,3.8,88.43,0
28,41.0,34,4.9,0,0,4.8,44.39,0
29,31.0,15,5.8,0,0,3.6,39.9,0
30,35.0,62,4.3,0,1,8.9,76.63,0
31,31.0,45,8.9,0,0,7.8,85.67,0
32,56.0,72,7.1,0,1,10.0,71.99,0
33,37.0,58,5.9,0,1,9.6,91.95,0
34,27.0,19,4.1,0,0,5.8,46.33,0
35,46.0,16,5.1,1,0,5.6,86.79,0
36,25.0,8,7.2,0,1,8.2,88.66,0
37,40.0,33,6.8,0,0,7.6,68.85,0
38,18.0,18,6.8,0,1,7.4,89.76,0
39,24.0,35,4.4,0,0,6.2,51.1,0
40,39.0,43,4.0,0,0,4.7,45.46,0
